Time and Date, temperature (ºC), temperature (ºF), humidity (%), pressure (hPa)
12:55:20 22/09/2024, 31.06, 87.91, 43.08, 1003.34
12:55:25 22/09/2024, 30.61, 87.10, 43.68, 1003.36
12:55:31 22/09/2024, 30.17, 86.31, 43.87, 1003.31
12:55:36 22/09/2024, 29.85, 85.73, 44.60, 1003.37
12:55:41 22/09/2024, 29.46, 85.03, 45.05, 1003.31
12:55:46 22/09/2024, 29.20, 84.56, 45.74, 1003.33
12:55:51 22/09/2024, 28.96, 84.13, 46.33, 1003.28
12:55:56 22/09/2024, 28.78, 83.81, 46.77, 1003.29
12:56:02 22/09/2024, 28.60, 83.48, 46.92, 1003.32
12:56:07 22/09/2024, 28.39, 83.11, 47.19, 1003.32
12:56:12 22/09/2024, 28.23, 82.81, 47.45, 1003.30
12:56:17 22/09/2024, 28.12, 82.61, 47.84, 1003.34
12:56:22 22/09/2024, 28.02, 82.43, 48.05, 1003.37
12:56:27 22/09/2024, 27.84, 82.11, 48.17, 1003.27
12:56:32 22/09/2024, 27.69, 81.84, 48.65, 1003.38
12:56:38 22/09/2024, 27.60, 81.67, 49.14, 1003.32
12:56:43 22/09/2024, 27.60, 81.68, 49.58, 1003.33
12:56:48 22/09/2024, 27.55, 81.58, 49.88, 1003.35
12:56:53 22/09/2024, 27.50, 81.50, 49.97, 1003.44
12:56:58 22/09/2024, 27.45, 81.41, 49.96, 1003.36
12:57:03 22/09/2024, 27.40, 81.31, 50.05, 1003.33
12:57:08 22/09/2024, 27.36, 81.24, 50.02, 1003.32
12:57:14 22/09/2024, 27.26, 81.06, 49.86, 1003.40
12:57:19 22/09/2024, 27.21, 80.97, 50.20, 1003.40
12:57:24 22/09/2024, 27.20, 80.95, 50.21, 1003.36
12:57:29 22/09/2024, 27.13, 80.84, 50.23, 1003.39
12:57:34 22/09/2024, 27.11, 80.79, 50.63, 1003.32
12:57:39 22/09/2024, 27.07, 80.73, 50.67, 1003.29
12:57:44 22/09/2024, 27.02, 80.64, 50.82, 1003.35
12:57:50 22/09/2024, 27.00, 80.59, 50.90, 1003.36
12:57:55 22/09/2024, 26.98, 80.56, 51.04, 1003.33
12:58:00 22/09/2024, 27.02, 80.63, 51.18, 1003.39
12:58:05 22/09/2024, 27.05, 80.68, 51.23, 1003.33
12:58:10 22/09/2024, 27.02, 80.64, 50.93, 1003.40
12:58:15 22/09/2024, 26.97, 80.54, 51.02, 1003.39
12:58:20 22/09/2024, 26.98, 80.56, 51.04, 1003.36
12:58:26 22/09/2024, 26.98, 80.56, 51.12, 1003.33
12:58:31 22/09/2024, 26.95, 80.51, 51.25, 1003.40
12:58:36 22/09/2024, 26.98, 80.56, 51.29, 1003.44
12:58:41 22/09/2024, 26.92, 80.46, 51.53, 1003.38
12:58:46 22/09/2024, 26.87, 80.37, 51.48, 1003.46
12:58:51 22/09/2024, 26.89, 80.39, 51.34, 1003.35
12:58:56 22/09/2024, 26.88, 80.38, 51.34, 1003.34
12:59:02 22/09/2024, 26.87, 80.36, 51.37, 1003.42
12:59:07 22/09/2024, 26.88, 80.38, 51.62, 1003.47
12:59:12 22/09/2024, 26.91, 80.44, 51.72, 1003.44
12:59:17 22/09/2024, 26.89, 80.39, 51.52, 1003.43
12:59:22 22/09/2024, 26.85, 80.33, 51.29, 1003.40
12:59:27 22/09/2024, 26.81, 80.25, 51.33, 1003.41
12:59:33 22/09/2024, 26.78, 80.20, 51.67, 1003.39
12:59:38 22/09/2024, 26.77, 80.18, 51.70, 1003.37
12:59:43 22/09/2024, 26.75, 80.14, 51.28, 1003.45
12:59:48 22/09/2024, 26.71, 80.07, 51.29, 1003.41
12:59:53 22/09/2024, 26.68, 80.02, 51.43, 1003.40
12:59:58 22/09/2024, 26.70, 80.06, 51.81, 1003.37
13:00:03 22/09/2024, 26.73, 80.11, 51.84, 1003.44
13:00:09 22/09/2024, 26.72, 80.09, 51.81, 1003.40
13:00:14 22/09/2024, 26.73, 80.11, 51.71, 1003.39
13:00:19 22/09/2024, 26.74, 80.13, 51.63, 1003.41
13:00:24 22/09/2024, 26.69, 80.03, 51.44, 1003.32
13:00:29 22/09/2024, 26.67, 80.01, 51.48, 1003.41
13:00:34 22/09/2024, 26.63, 79.93, 51.67, 1003.39
13:00:39 22/09/2024, 26.66, 79.98, 52.00, 1003.44
13:00:45 22/09/2024, 26.70, 80.05, 51.93, 1003.45
13:00:50 22/09/2024, 26.72, 80.09, 51.80, 1003.40
13:00:55 22/09/2024, 26.73, 80.11, 51.95, 1003.39
13:01:00 22/09/2024, 26.70, 80.06, 51.88, 1003.40
13:01:05 22/09/2024, 26.74, 80.13, 51.99, 1003.44
13:01:10 22/09/2024, 26.72, 80.09, 51.95, 1003.45
13:01:15 22/09/2024, 26.68, 80.02, 51.88, 1003.36
13:01:21 22/09/2024, 26.63, 79.93, 52.08, 1003.39
13:01:26 22/09/2024, 26.58, 79.84, 52.27, 1003.45
13:01:31 22/09/2024, 26.59, 79.86, 52.52, 1003.44
13:01:36 22/09/2024, 26.61, 79.89, 52.35, 1003.47
13:01:41 22/09/2024, 26.63, 79.93, 52.04, 1003.42
13:01:46 22/09/2024, 26.62, 79.92, 52.27, 1003.38
13:01:51 22/09/2024, 26.63, 79.93, 52.04, 1003.44
13:01:57 22/09/2024, 26.58, 79.84, 52.04, 1003.40
13:02:02 22/09/2024, 26.54, 79.76, 52.05, 1003.41
13:02:07 22/09/2024, 26.55, 79.79, 52.19, 1003.43
13:02:12 22/09/2024, 26.55, 79.78, 52.25, 1003.40
13:02:17 22/09/2024, 26.58, 79.84, 52.19, 1003.42
13:02:22 22/09/2024, 26.55, 79.79, 52.10, 1003.38
13:02:27 22/09/2024, 26.53, 79.75, 52.32, 1003.37
13:02:33 22/09/2024, 26.59, 79.86, 52.59, 1003.50
13:02:38 22/09/2024, 26.60, 79.87, 52.43, 1003.45
13:02:43 22/09/2024, 26.60, 79.88, 52.58, 1003.43
13:02:48 22/09/2024, 26.62, 79.92, 52.64, 1003.41
13:02:53 22/09/2024, 26.64, 79.94, 52.47, 1003.41
13:02:58 22/09/2024, 26.62, 79.91, 52.28, 1003.37
13:03:03 22/09/2024, 26.61, 79.89, 52.38, 1003.41
13:03:09 22/09/2024, 26.60, 79.87, 52.36, 1003.42
13:03:14 22/09/2024, 26.59, 79.85, 52.36, 1003.41
13:03:19 22/09/2024, 26.64, 79.95, 52.30, 1003.41
13:03:24 22/09/2024, 26.61, 79.90, 52.45, 1003.42
13:03:29 22/09/2024, 26.63, 79.93, 52.30, 1003.39
13:03:34 22/09/2024, 26.62, 79.91, 52.42, 1003.43
13:03:39 22/09/2024, 26.64, 79.94, 52.48, 1003.38
13:03:45 22/09/2024, 26.67, 80.00, 52.61, 1003.37
13:03:50 22/09/2024, 26.69, 80.03, 52.50, 1003.40
13:03:55 22/09/2024, 26.69, 80.03, 52.38, 1003.38
13:04:00 22/09/2024, 26.67, 80.01, 52.54, 1003.41
13:04:05 22/09/2024, 26.65, 79.97, 52.42, 1003.40
13:04:10 22/09/2024, 26.65, 79.97, 52.51, 1003.48
13:04:15 22/09/2024, 26.64, 79.95, 52.74, 1003.41
13:04:21 22/09/2024, 26.67, 80.01, 52.82, 1003.46
13:04:26 22/09/2024, 26.66, 79.98, 52.87, 1003.38
13:04:31 22/09/2024, 26.65, 79.96, 52.98, 1003.45
13:04:36 22/09/2024, 26.64, 79.94, 52.80, 1003.41
13:04:41 22/09/2024, 26.67, 80.00, 52.63, 1003.45
13:04:46 22/09/2024, 26.69, 80.04, 52.46, 1003.44
13:04:52 22/09/2024, 26.68, 80.02, 52.19, 1003.44
13:04:57 22/09/2024, 26.65, 79.96, 52.34, 1003.42
13:05:02 22/09/2024, 26.65, 79.97, 52.52, 1003.40
13:05:07 22/09/2024, 26.67, 80.01, 52.71, 1003.41
13:05:12 22/09/2024, 26.70, 80.05, 52.50, 1003.42
13:05:17 22/09/2024, 26.71, 80.08, 52.47, 1003.47
13:05:23 22/09/2024, 26.68, 80.02, 52.20, 1003.45
13:05:28 22/09/2024, 26.65, 79.97, 52.26, 1003.43
13:05:33 22/09/2024, 26.64, 79.94, 52.53, 1003.43
13:05:38 22/09/2024, 26.62, 79.92, 52.38, 1003.44
13:05:43 22/09/2024, 26.61, 79.89, 52.68, 1003.36
13:05:48 22/09/2024, 26.60, 79.87, 53.03, 1003.37
13:05:53 22/09/2024, 26.61, 79.89, 53.13, 1003.38
13:05:58 22/09/2024, 26.65, 79.97, 52.97, 1003.40
13:06:04 22/09/2024, 26.60, 79.87, 52.45, 1003.42
13:06:09 22/09/2024, 26.57, 79.83, 52.67, 1003.46
13:06:14 22/09/2024, 26.58, 79.84, 52.70, 1003.39
13:06:19 22/09/2024, 26.60, 79.87, 52.78, 1003.48
13:06:24 22/09/2024, 26.57, 79.82, 52.64, 1003.40
13:06:29 22/09/2024, 26.56, 79.81, 52.64, 1003.47
13:06:34 22/09/2024, 26.55, 79.79, 52.58, 1003.43
13:06:40 22/09/2024, 26.54, 79.76, 52.77, 1003.43
13:06:45 22/09/2024, 26.56, 79.80, 52.97, 1003.41
13:06:50 22/09/2024, 26.60, 79.87, 52.91, 1003.45
13:06:55 22/09/2024, 26.58, 79.84, 52.82, 1003.39
13:07:00 22/09/2024, 26.56, 79.81, 52.64, 1003.42
13:07:05 22/09/2024, 26.56, 79.81, 52.97, 1003.39
13:07:10 22/09/2024, 26.59, 79.86, 52.83, 1003.39
13:07:16 22/09/2024, 26.59, 79.86, 52.65, 1003.44
13:07:21 22/09/2024, 26.60, 79.87, 52.76, 1003.40
13:07:26 22/09/2024, 26.61, 79.89, 52.89, 1003.41
13:07:31 22/09/2024, 26.62, 79.92, 52.83, 1003.38
13:07:36 22/09/2024, 26.59, 79.86, 52.56, 1003.36
13:07:41 22/09/2024, 26.56, 79.80, 52.69, 1003.39
13:07:46 22/09/2024, 26.54, 79.77, 52.79, 1003.47
13:07:52 22/09/2024, 26.56, 79.80, 52.83, 1003.47
13:07:57 22/09/2024, 26.57, 79.83, 52.87, 1003.41
13:08:02 22/09/2024, 26.57, 79.82, 52.79, 1003.48
13:08:07 22/09/2024, 26.55, 79.78, 52.59, 1003.42
13:08:12 22/09/2024, 26.52, 79.74, 52.57, 1003.38
13:08:17 22/09/2024, 26.49, 79.69, 52.69, 1003.42
13:08:22 22/09/2024, 26.48, 79.67, 52.80, 1003.41
13:08:28 22/09/2024, 26.48, 79.67, 52.71, 1003.44
13:08:33 22/09/2024, 26.50, 79.71, 52.63, 1003.41
13:08:38 22/09/2024, 26.50, 79.70, 52.71, 1003.35
13:08:43 22/09/2024, 26.56, 79.80, 52.89, 1003.36
13:08:48 22/09/2024, 26.59, 79.86, 52.81, 1003.36
13:08:53 22/09/2024, 26.60, 79.88, 52.79, 1003.30
13:08:59 22/09/2024, 26.63, 79.93, 52.75, 1003.42
13:09:04 22/09/2024, 26.65, 79.96, 52.76, 1003.39
13:09:09 22/09/2024, 26.68, 80.02, 52.53, 1003.44
13:09:14 22/09/2024, 26.64, 79.94, 52.52, 1003.41
13:09:19 22/09/2024, 26.66, 79.98, 52.55, 1003.41
13:09:24 22/09/2024, 26.68, 80.02, 52.49, 1003.42
13:09:29 22/09/2024, 26.67, 80.00, 52.56, 1003.40
13:09:35 22/09/2024, 26.59, 79.86, 52.41, 1003.36
13:09:40 22/09/2024, 26.58, 79.84, 52.55, 1003.43
13:09:45 22/09/2024, 26.53, 79.75, 52.23, 1003.45
13:09:50 22/09/2024, 26.50, 79.70, 52.21, 1003.46
13:09:55 22/09/2024, 26.49, 79.68, 52.53, 1003.42
13:10:00 22/09/2024, 26.48, 79.67, 53.00, 1003.46
13:10:05 22/09/2024, 26.45, 79.62, 53.01, 1003.41
13:10:11 22/09/2024, 26.43, 79.58, 53.03, 1003.44
13:10:16 22/09/2024, 26.45, 79.62, 53.19, 1003.41
13:10:21 22/09/2024, 26.47, 79.65, 53.12, 1003.42
13:10:26 22/09/2024, 26.46, 79.64, 53.20, 1003.48
13:10:31 22/09/2024, 26.46, 79.64, 53.10, 1003.40
13:10:36 22/09/2024, 26.39, 79.51, 53.03, 1003.43
13:10:41 22/09/2024, 26.34, 79.41, 52.99, 1003.42
13:10:47 22/09/2024, 26.32, 79.38, 53.34, 1003.42
13:10:52 22/09/2024, 26.29, 79.33, 53.28, 1003.43
13:10:57 22/09/2024, 26.26, 79.27, 53.69, 1003.45
13:11:02 22/09/2024, 26.29, 79.32, 53.85, 1003.42
13:11:07 22/09/2024, 26.31, 79.37, 53.82, 1003.41
13:11:12 22/09/2024, 26.33, 79.39, 53.87, 1003.43
13:11:17 22/09/2024, 26.36, 79.46, 53.62, 1003.43
13:11:23 22/09/2024, 26.31, 79.37, 53.59, 1003.38
13:11:28 22/09/2024, 26.30, 79.35, 53.63, 1003.42
13:11:33 22/09/2024, 26.28, 79.31, 53.57, 1003.38
13:11:38 22/09/2024, 26.32, 79.38, 53.63, 1003.42
13:11:43 22/09/2024, 26.34, 79.41, 53.75, 1003.37
13:11:48 22/09/2024, 26.35, 79.43, 53.33, 1003.38
13:11:54 22/09/2024, 26.31, 79.37, 53.28, 1003.38
13:11:59 22/09/2024, 26.32, 79.38, 53.40, 1003.45
13:12:04 22/09/2024, 26.35, 79.44, 53.46, 1003.42
13:12:09 22/09/2024, 26.38, 79.48, 53.58, 1003.43
13:12:15 22/09/2024, 26.39, 79.51, 53.43, 1003.45
13:12:20 22/09/2024, 26.42, 79.56, 53.45, 1003.47
13:12:25 22/09/2024, 26.41, 79.54, 53.42, 1003.45
13:12:30 22/09/2024, 26.46, 79.63, 53.47, 1003.42
13:12:35 22/09/2024, 26.46, 79.64, 53.26, 1003.46
13:12:41 22/09/2024, 26.47, 79.65, 53.19, 1003.45
13:12:46 22/09/2024, 26.47, 79.65, 53.01, 1003.47
13:12:51 22/09/2024, 26.45, 79.61, 53.17, 1003.46
13:12:56 22/09/2024, 26.46, 79.63, 52.98, 1003.42
13:13:02 22/09/2024, 26.50, 79.71, 53.10, 1003.47
13:13:07 22/09/2024, 26.52, 79.74, 53.03, 1003.41
13:13:12 22/09/2024, 26.51, 79.73, 53.07, 1003.40
13:13:17 22/09/2024, 26.50, 79.71, 52.98, 1003.39
13:13:23 22/09/2024, 26.53, 79.75, 53.08, 1003.50
13:13:28 22/09/2024, 26.53, 79.75, 53.08, 1003.45
13:13:33 22/09/2024, 26.57, 79.82, 53.05, 1003.48
13:13:38 22/09/2024, 26.60, 79.87, 52.88, 1003.50
13:13:44 22/09/2024, 26.54, 79.77, 52.81, 1003.44
13:13:49 22/09/2024, 26.55, 79.78, 52.87, 1003.48
13:13:54 22/09/2024, 26.56, 79.81, 52.91, 1003.45
13:13:59 22/09/2024, 26.56, 79.80, 52.76, 1003.49
13:14:05 22/09/2024, 26.50, 79.70, 52.84, 1003.43
13:14:10 22/09/2024, 26.53, 79.75, 53.05, 1003.39
13:14:15 22/09/2024, 26.51, 79.72, 52.92, 1003.42
13:14:20 22/09/2024, 26.53, 79.75, 52.95, 1003.48
13:14:26 22/09/2024, 26.51, 79.72, 52.79, 1003.39
13:14:31 22/09/2024, 26.58, 79.84, 52.99, 1003.44
13:14:36 22/09/2024, 26.62, 79.91, 52.81, 1003.45
13:14:41 22/09/2024, 26.56, 79.81, 52.52, 1003.47
13:14:47 22/09/2024, 26.56, 79.80, 52.70, 1003.41
13:14:52 22/09/2024, 26.60, 79.88, 52.91, 1003.46
13:14:57 22/09/2024, 26.56, 79.81, 52.74, 1003.42
13:15:02 22/09/2024, 26.61, 79.89, 52.90, 1003.38
13:15:08 22/09/2024, 26.58, 79.84, 52.82, 1003.39
13:15:13 22/09/2024, 26.59, 79.85, 52.89, 1003.43
13:15:18 22/09/2024, 26.56, 79.81, 52.74, 1003.45
13:15:23 22/09/2024, 26.59, 79.85, 52.68, 1003.41
13:15:28 22/09/2024, 26.62, 79.92, 52.94, 1003.41
13:15:34 22/09/2024, 26.61, 79.90, 52.83, 1003.45
13:15:39 22/09/2024, 26.60, 79.87, 53.00, 1003.48
13:15:44 22/09/2024, 26.59, 79.86, 53.09, 1003.44
13:15:49 22/09/2024, 26.62, 79.92, 53.21, 1003.49
13:15:54 22/09/2024, 26.64, 79.95, 53.25, 1003.47
13:15:59 22/09/2024, 26.65, 79.97, 53.10, 1003.46
13:16:04 22/09/2024, 26.60, 79.88, 53.07, 1003.38
13:16:10 22/09/2024, 26.60, 79.88, 53.09, 1003.46
13:16:15 22/09/2024, 26.59, 79.86, 53.23, 1003.41
13:16:20 22/09/2024, 26.62, 79.91, 53.34, 1003.40
13:16:25 22/09/2024, 26.67, 80.01, 53.43, 1003.46
13:16:30 22/09/2024, 26.69, 80.03, 53.33, 1003.49
13:16:35 22/09/2024, 26.71, 80.07, 53.32, 1003.41
13:16:41 22/09/2024, 26.70, 80.06, 53.17, 1003.48
13:16:46 22/09/2024, 26.71, 80.07, 53.11, 1003.46
13:16:51 22/09/2024, 26.72, 80.09, 53.23, 1003.45
13:16:56 22/09/2024, 26.71, 80.07, 53.17, 1003.41
13:17:01 22/09/2024, 26.68, 80.02, 52.98, 1003.47
13:17:07 22/09/2024, 26.64, 79.95, 53.12, 1003.41
13:17:12 22/09/2024, 26.65, 79.97, 53.11, 1003.51
13:17:17 22/09/2024, 26.68, 80.02, 53.18, 1003.48
13:17:22 22/09/2024, 26.71, 80.08, 53.35, 1003.44
13:17:28 22/09/2024, 26.74, 80.13, 53.37, 1003.47
13:17:33 22/09/2024, 26.75, 80.15, 53.24, 1003.45
13:17:38 22/09/2024, 26.78, 80.20, 53.19, 1003.37
13:17:43 22/09/2024, 26.76, 80.17, 52.97, 1003.44
13:17:49 22/09/2024, 26.77, 80.19, 52.99, 1003.49
13:17:54 22/09/2024, 26.77, 80.19, 53.05, 1003.49
13:17:59 22/09/2024, 26.79, 80.21, 52.95, 1003.51
13:18:04 22/09/2024, 26.78, 80.20, 52.89, 1003.42
13:18:09 22/09/2024, 26.78, 80.20, 52.96, 1003.49
13:18:15 22/09/2024, 26.76, 80.17, 53.15, 1003.47
13:18:20 22/09/2024, 26.75, 80.15, 53.18, 1003.45
13:18:25 22/09/2024, 26.77, 80.19, 53.23, 1003.41
13:18:30 22/09/2024, 26.74, 80.13, 52.96, 1003.41
13:18:35 22/09/2024, 26.72, 80.10, 52.98, 1003.46
13:18:40 22/09/2024, 26.68, 80.02, 52.99, 1003.50
13:18:46 22/09/2024, 26.70, 80.05, 53.02, 1003.47
13:18:51 22/09/2024, 26.71, 80.07, 53.13, 1003.44
13:18:56 22/09/2024, 26.72, 80.09, 53.28, 1003.43
13:19:01 22/09/2024, 26.72, 80.10, 53.37, 1003.46
13:19:06 22/09/2024, 26.69, 80.04, 53.18, 1003.47
13:19:11 22/09/2024, 26.66, 79.98, 53.08, 1003.49
13:19:17 22/09/2024, 26.64, 79.94, 53.16, 1003.49
13:19:22 22/09/2024, 26.66, 79.98, 53.28, 1003.44
13:19:27 22/09/2024, 26.70, 80.05, 53.41, 1003.45
13:19:32 22/09/2024, 26.73, 80.11, 53.20, 1003.47
13:19:37 22/09/2024, 26.73, 80.11, 53.06, 1003.45
13:19:42 22/09/2024, 26.72, 80.10, 53.25, 1003.38
13:19:48 22/09/2024, 26.76, 80.17, 53.06, 1003.42
13:19:53 22/09/2024, 26.77, 80.18, 52.96, 1003.48
13:19:58 22/09/2024, 26.72, 80.10, 53.27, 1003.49
13:20:03 22/09/2024, 26.69, 80.04, 53.52, 1003.41
13:20:08 22/09/2024, 26.74, 80.12, 53.39, 1003.46
13:20:13 22/09/2024, 26.73, 80.11, 53.42, 1003.42
13:20:18 22/09/2024, 26.74, 80.13, 53.37, 1003.44
13:20:24 22/09/2024, 26.75, 80.14, 53.22, 1003.50
13:20:29 22/09/2024, 26.72, 80.10, 53.19, 1003.46
13:20:34 22/09/2024, 26.72, 80.10, 53.24, 1003.49
13:20:39 22/09/2024, 26.74, 80.12, 53.19, 1003.46
13:20:44 22/09/2024, 26.79, 80.22, 53.05, 1003.49
13:20:50 22/09/2024, 26.81, 80.26, 52.90, 1003.44
13:20:55 22/09/2024, 26.79, 80.21, 52.71, 1003.48
13:21:00 22/09/2024, 26.79, 80.21, 52.86, 1003.46
13:21:05 22/09/2024, 26.82, 80.27, 52.71, 1003.45
13:21:11 22/09/2024, 26.77, 80.18, 53.28, 1003.42
13:21:16 22/09/2024, 26.82, 80.27, 53.00, 1003.45
13:21:21 22/09/2024, 27.48, 81.47, 58.07, 1003.43
13:21:26 22/09/2024, 27.32, 81.18, 54.45, 1003.42
13:21:32 22/09/2024, 27.27, 81.09, 52.66, 1003.42
13:21:37 22/09/2024, 28.69, 83.64, 57.97, 1003.47
13:21:42 22/09/2024, 28.07, 82.52, 51.74, 1003.45
13:21:47 22/09/2024, 27.90, 82.21, 50.77, 1003.42
13:21:53 22/09/2024, 27.69, 81.85, 50.84, 1003.42
13:21:58 22/09/2024, 27.57, 81.62, 51.09, 1003.41
13:22:03 22/09/2024, 27.53, 81.55, 51.28, 1003.43
13:22:09 22/09/2024, 27.38, 81.29, 51.64, 1003.44
13:22:14 22/09/2024, 27.31, 81.15, 51.59, 1003.40
13:22:19 22/09/2024, 27.24, 81.03, 51.70, 1003.43
13:22:24 22/09/2024, 27.17, 80.91, 51.55, 1003.48
13:22:30 22/09/2024, 27.18, 80.92, 51.84, 1003.46
13:22:35 22/09/2024, 27.14, 80.85, 51.66, 1003.43
13:22:40 22/09/2024, 27.04, 80.67, 51.37, 1003.46
13:22:45 22/09/2024, 26.93, 80.47, 55.28, 1003.49
13:22:50 22/09/2024, 26.90, 80.41, 53.33, 1003.47
13:22:55 22/09/2024, 26.82, 80.28, 54.46, 1003.43
13:23:01 22/09/2024, 26.85, 80.32, 55.01, 1003.50
13:23:06 22/09/2024, 26.87, 80.37, 54.16, 1003.46
13:23:11 22/09/2024, 26.84, 80.31, 53.01, 1003.49
13:23:16 22/09/2024, 26.80, 80.24, 52.84, 1003.45
13:23:21 22/09/2024, 26.76, 80.17, 52.98, 1003.44
13:23:26 22/09/2024, 26.74, 80.12, 52.73, 1003.54
13:23:31 22/09/2024, 26.66, 79.98, 52.80, 1003.55
13:23:37 22/09/2024, 26.62, 79.91, 54.47, 1003.43
13:23:42 22/09/2024, 26.67, 80.00, 53.86, 1003.48
13:23:47 22/09/2024, 26.67, 80.00, 53.79, 1003.51
13:23:52 22/09/2024, 26.67, 80.01, 53.23, 1003.46
13:23:57 22/09/2024, 26.66, 79.98, 53.01, 1003.52
13:24:02 22/09/2024, 26.67, 80.01, 53.04, 1003.43
13:24:07 22/09/2024, 26.68, 80.02, 52.94, 1003.52
13:24:20 22/09/2024, 26.68, 80.02, 53.49, 1003.42
13:24:25 22/09/2024, 26.67, 80.00, 53.17, 1003.48
13:24:30 22/09/2024, 26.63, 79.93, 53.16, 1003.52
13:24:35 22/09/2024, 26.63, 79.93, 53.42, 1003.47
13:24:41 22/09/2024, 26.62, 79.91, 53.48, 1003.48
13:24:46 22/09/2024, 26.64, 79.95, 53.64, 1003.47
13:24:51 22/09/2024, 26.65, 79.96, 53.61, 1003.48
13:24:56 22/09/2024, 26.65, 79.96, 53.61, 1003.48
13:25:01 22/09/2024, 26.62, 79.92, 53.60, 1003.52
13:25:06 22/09/2024, 26.62, 79.91, 53.70, 1003.48
13:25:11 22/09/2024, 26.63, 79.93, 53.63, 1003.51
13:25:16 22/09/2024, 26.62, 79.92, 53.48, 1003.49
13:25:22 22/09/2024, 26.62, 79.91, 53.41, 1003.48
13:25:27 22/09/2024, 26.66, 79.98, 53.32, 1003.49
13:25:32 22/09/2024, 26.66, 79.99, 53.35, 1003.47
13:25:37 22/09/2024, 26.73, 80.11, 53.37, 1003.52
13:25:42 22/09/2024, 26.71, 80.08, 53.10, 1003.50
13:25:47 22/09/2024, 26.73, 80.11, 53.19, 1003.41
13:25:52 22/09/2024, 26.74, 80.12, 53.45, 1003.43
13:25:58 22/09/2024, 26.71, 80.07, 53.10, 1003.41
13:26:03 22/09/2024, 26.72, 80.10, 53.35, 1003.43
13:26:08 22/09/2024, 26.74, 80.13, 53.47, 1003.55
13:26:13 22/09/2024, 26.76, 80.16, 53.55, 1003.49
13:26:18 22/09/2024, 26.74, 80.13, 53.62, 1003.47
13:26:23 22/09/2024, 26.75, 80.15, 53.51, 1003.54
13:26:28 22/09/2024, 26.75, 80.15, 53.26, 1003.48
13:26:34 22/09/2024, 26.80, 80.24, 53.16, 1003.54
13:26:39 22/09/2024, 26.82, 80.27, 53.24, 1003.48
13:26:44 22/09/2024, 26.81, 80.25, 53.62, 1003.49
13:26:49 22/09/2024, 26.79, 80.21, 53.84, 1003.51
13:26:54 22/09/2024, 26.85, 80.32, 53.53, 1003.53
13:26:59 22/09/2024, 26.88, 80.38, 53.28, 1003.49
13:27:04 22/09/2024, 26.88, 80.38, 53.14, 1003.55
13:27:09 22/09/2024, 26.82, 80.28, 53.07, 1003.49
13:27:15 22/09/2024, 26.84, 80.30, 53.07, 1003.46
13:27:20 22/09/2024, 26.87, 80.36, 53.26, 1003.56
13:27:25 22/09/2024, 26.84, 80.30, 53.18, 1003.46
13:27:30 22/09/2024, 26.82, 80.27, 53.10, 1003.45
13:27:35 22/09/2024, 26.84, 80.30, 53.06, 1003.54
13:27:40 22/09/2024, 26.86, 80.35, 52.95, 1003.52
13:27:45 22/09/2024, 26.91, 80.44, 52.91, 1003.47
13:27:51 22/09/2024, 26.95, 80.50, 52.66, 1003.50
13:27:56 22/09/2024, 26.90, 80.42, 52.68, 1003.45
13:28:01 22/09/2024, 26.91, 80.44, 52.88, 1003.50
13:28:06 22/09/2024, 26.94, 80.48, 52.86, 1003.54
13:28:11 22/09/2024, 26.96, 80.53, 52.82, 1003.44
13:28:16 22/09/2024, 26.96, 80.52, 52.56, 1003.51
13:28:21 22/09/2024, 26.97, 80.55, 52.68, 1003.48
13:28:26 22/09/2024, 26.96, 80.53, 52.77, 1003.41
13:28:32 22/09/2024, 26.94, 80.49, 52.59, 1003.54
13:28:37 22/09/2024, 26.90, 80.41, 52.56, 1003.53
13:28:42 22/09/2024, 26.89, 80.40, 52.65, 1003.54
13:28:47 22/09/2024, 26.87, 80.37, 52.61, 1003.54
13:28:52 22/09/2024, 26.87, 80.37, 52.51, 1003.51
13:28:57 22/09/2024, 26.88, 80.38, 52.73, 1003.49
13:29:02 22/09/2024, 26.87, 80.37, 52.80, 1003.57
13:29:08 22/09/2024, 26.88, 80.38, 53.03, 1003.47
13:29:13 22/09/2024, 26.84, 80.31, 52.73, 1003.49
13:29:18 22/09/2024, 26.79, 80.21, 52.55, 1003.54
13:29:23 22/09/2024, 26.75, 80.15, 52.70, 1003.45
13:29:28 22/09/2024, 26.72, 80.10, 52.98, 1003.51
13:29:33 22/09/2024, 26.72, 80.10, 53.02, 1003.51
13:29:38 22/09/2024, 26.75, 80.14, 53.27, 1003.50
13:29:44 22/09/2024, 26.75, 80.14, 52.79, 1003.50
13:29:49 22/09/2024, 26.75, 80.15, 52.94, 1003.45
13:29:54 22/09/2024, 26.72, 80.09, 52.77, 1003.48
13:29:59 22/09/2024, 26.68, 80.02, 53.12, 1003.50
13:30:05 22/09/2024, 26.69, 80.04, 53.15, 1003.47
13:30:10 22/09/2024, 26.74, 80.13, 53.19, 1003.57
13:30:15 22/09/2024, 26.71, 80.08, 53.26, 1003.53
13:30:20 22/09/2024, 26.67, 80.01, 53.42, 1003.57
13:30:26 22/09/2024, 26.69, 80.04, 53.42, 1003.44
13:30:31 22/09/2024, 26.68, 80.02, 53.75, 1003.45
13:30:36 22/09/2024, 26.68, 80.02, 54.15, 1003.50
13:30:41 22/09/2024, 26.68, 80.02, 54.22, 1003.55
